2025-02-02 11:52:36 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 12:16:36 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 12:40:36 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 13:04:37 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 13:28:37 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 13:52:37 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 14:16:37 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 14:17:30 [INFO] Initialization complete [in gps_simulation.py:17, <module>]
2025-02-02 14:17:30 [INFO] start gps simulation [in gps_simulation.py:43, <module>]
2025-02-02 14:21:30 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 14:25:30 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 14:29:30 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 14:33:31 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 14:37:31 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 14:41:31 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 14:45:31 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 14:49:31 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 14:53:32 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 14:57:32 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 15:01:32 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 15:05:32 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 15:09:32 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 15:13:33 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 15:17:33 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 15:21:33 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 15:25:33 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 15:29:33 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 15:33:33 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 15:37:34 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 15:41:34 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 15:45:34 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 15:49:34 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 15:53:34 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 15:57:34 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 16:01:35 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 16:05:35 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 16:09:35 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 16:13:35 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 16:17:35 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 16:21:36 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 16:25:36 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 16:29:36 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 16:33:36 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 16:37:36 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 16:41:36 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 16:45:37 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 16:49:37 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 16:53:37 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 16:57:37 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 17:01:37 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 17:05:38 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 17:09:38 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 17:13:38 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 17:17:38 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 17:21:38 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 17:25:38 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 17:29:39 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 17:33:39 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 17:37:39 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 17:41:39 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 17:45:39 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 17:49:39 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 17:53:40 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 17:57:40 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 18:01:40 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 18:05:40 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 18:09:40 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 18:13:41 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 18:17:41 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 18:21:41 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 18:25:41 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 18:29:41 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 18:33:41 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 18:37:42 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 18:41:42 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 18:45:42 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 18:49:42 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 18:53:42 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 18:57:43 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 19:01:43 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 19:05:43 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 19:09:43 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 19:13:43 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 19:17:43 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 19:21:44 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 19:25:44 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 19:29:44 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 19:33:44 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 19:37:44 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 19:41:45 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 19:45:45 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 19:49:45 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 19:53:45 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 19:57:45 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 20:01:45 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 20:05:46 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 20:09:46 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 20:13:46 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 20:17:46 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 20:21:46 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 20:25:47 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 20:29:47 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 20:33:47 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 20:37:47 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 20:41:47 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 20:45:47 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 20:49:48 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
